,reward
0,-8.878880500793457
1,-11.367499351501465
2,-7.076879978179932
3,-3.239060163497925
4,-3.328160285949707
5,-2.8781402111053467
6,-1.7455397844314575
7,-0.27275997400283813
8,-0.29683998227119446
9,-0.29291999340057373
10,-0.29739999771118164
11,-0.3057999610900879
12,-0.37523993849754333
13,-0.2850799560546875
14,-0.4071599543094635
15,-0.2996399700641632
16,-0.43571993708610535
17,-0.4877999722957611
18,-0.6076400279998779
19,-0.29684001207351685
20,-0.26603996753692627
21,-0.26715999841690063
22,-0.2940399944782257
23,-0.25707998871803284
24,-0.2581999897956848
25,-0.2525999844074249
26,-0.2749999761581421
27,-0.28731998801231384
