,rewards_per_run_RandomModel,episode_lenghts_RandomModel,rewards_per_run_SimpleCPUThresholdModel,episode_lenghts_SimpleCPUThresholdModel,rewards_per_run_DQN_CnnPolicy,episode_lenghts_DQN_CnnPolicy,rewards_per_run_DQN_MlpPolicy,episode_lenghts_DQN_MlpPolicy,rewards_per_run_PPO_CnnPolicy,episode_lenghts_PPO_CnnPolicy,rewards_per_run_PPO_MlpPolicy,episode_lenghts_PPO_MlpPolicy,rewards_per_run_RecurrentPPO_CnnLstmPolicy,episode_lenghts_RecurrentPPO_CnnLstmPolicy,rewards_per_run_RecurrentPPO_MlpLstmPolicy,episode_lenghts_RecurrentPPO_MlpLstmPolicy
0,-5.710440039634705,70,-5.181719979271293,84,-5.882519993931055,104,-7.128119992092252,114,-2.8278000112622976,36,-5.693040004465729,156,-3.8234399929642677,47,-3.207720011472702,29
1,-4.499280016869307,52,-4.878240019083023,76,-4.121040023863316,88,-13.143240038305521,239,-2.5088400221429765,54,-7.458360014483333,190,-5.293920032680035,75,-5.2912799790501595,47
2,-5.055599998682737,56,-4.518119994550943,78,-3.706800004467368,82,-7.7557199858129025,144,-2.6161199966445565,32,-7.864799993112683,196,-11.814840033650398,87,-3.901800014078617,36
3,-5.578440012410283,81,-4.609199987724423,78,-3.562919990159571,74,-6.791040021926165,110,-2.4008400104939938,31,-7.729439990594983,190,-5.998680002987385,63,-11.357520081102848,55
4,-5.201879974454641,72,-3.9418799933046103,75,-3.9421199993230402,104,-6.935879981610924,144,-2.406600014306605,30,-7.320959993172437,184,-5.625480007380247,64,-4.882200010120869,41
5,-5.598240025341511,53,-4.6772399777546525,84,-3.7150800148956478,85,-10.82243999838829,220,-2.8057200284674764,34,-11.083080020267516,233,-4.743240009993315,70,-7.502280063927174,43
6,-7.012080002576113,68,-4.9967999598011374,84,-4.706039959564805,87,-7.775399956852198,161,-2.661360017955303,28,-6.582960007712245,173,-6.178199969232082,61,-3.4676400013267994,41
7,-9.631319994106889,141,-3.8013599812984467,75,-4.766519986093044,96,-6.794759983662516,144,-2.463720003142953,30,-5.199120019562542,150,-3.701880007982254,51,-5.185680031776428,41
8,-16.190040104091167,152,-4.173359969630837,76,-4.114680020138621,90,-7.238280039746314,144,-2.3095200080424547,27,-15.741839990019798,270,-7.946160018444061,61,-4.058400027453899,48
9,-4.437959998846054,52,-4.771319960244,84,-4.836719997227192,90,-7.574280014261603,144,-2.5118400137871504,29,-6.708719968795776,161,-4.137240003794432,58,-5.972759984433651,40
