,reward
0,-34.61031723022461
1,-8.816279411315918
2,-20.49847984313965
3,-7.995520114898682
4,-4.649520397186279
5,-2.7252399921417236
6,-4.675600528717041
7,-2.5563600063323975
8,-2.6965999603271484
9,-2.089200258255005
10,-2.8620002269744873
11,-2.1009600162506104
12,-1.7868000268936157
13,-1.3852800130844116
14,-0.6164000034332275
15,-0.45287999510765076
16,-0.2781599760055542
17,-0.22439998388290405
18,-0.17680002748966217
19,-0.1336800456047058
20,-0.13816003501415253
21,-0.11128003150224686
22,-0.12472003698348999
23,-0.10792002826929092
24,-0.11016003042459488
25,-0.13032002747058868
26,-0.11016003042459488
27,-0.11352003365755081
28,-0.10680002719163895
29,-0.11576003581285477
30,-0.11688002943992615
31,-0.11464002728462219
32,-0.11464003473520279
33,-0.10568002611398697
34,-0.12584002315998077
35,-0.13032004237174988
36,-0.12584003806114197
37,-0.11240003257989883
