,reward
0,-3.1347601413726807
1,-2.490959882736206
2,-0.11259999871253967
3,-3.292840003967285
4,-3.6692397594451904
5,-2.8853800296783447
6,-2.8771800994873047
7,-0.12099999934434891
8,-2.096719980239868
9,-3.235419988632202
10,-0.09916000813245773
11,-2.386079788208008
12,-2.483800172805786
13,-2.145679473876953
14,-1.7111601829528809
15,-0.10868000984191895
16,-0.7094799876213074
17,-0.77621990442276
18,-0.08627999573945999
19,-0.5873799920082092
20,-0.9362799525260925
21,-0.059960003942251205
22,-0.6558598875999451
23,-0.0857200026512146
24,-0.604459822177887
25,-0.8914598822593689
26,-0.07283999770879745
27,-0.5274599194526672
28,-1.2385998964309692
29,-0.059960003942251205
30,-0.5964198708534241
31,-0.06108000501990318
32,-0.5565599799156189
33,-0.062199998646974564
34,-0.055479999631643295
35,-0.0700400099158287
36,-0.06668000668287277
37,-0.059960003942251205
38,-0.062199998646974564
39,-0.04540000483393669
40,-0.054360002279281616
41,-0.05212000012397766
42,-0.05660000070929527
43,-0.07116000354290009
44,-0.06108000501990318
45,-0.05660000443458557
46,-0.055480003356933594
47,-0.054360002279281616
48,-0.054360002279281616
49,-0.05660000443458557
50,-0.058840006589889526
51,-0.06332000344991684
52,-0.055479999631643295
53,-0.054360002279281616
54,-0.05212000012397766
55,-0.05772000178694725
56,-0.04876000061631203
57,-0.04876000061631203
58,-0.05212000012397766
59,-0.05212000012397766
60,-0.055480003356933594
61,-0.049879997968673706
62,-0.05660000070929527
63,-0.054360002279281616
64,-0.05884000286459923
65,-0.055479999631643295
66,-0.05660000070929527
67,-0.05324000120162964
68,-0.05212000012397766
69,-0.05212000012397766
70,-0.049879997968673706
71,-0.05660000070929527
72,-0.04876000061631203
73,-0.05660000070929527
74,-0.05212000012397766
75,-0.05772000178694725
76,-0.06332000344991684
77,-0.049879997968673706
78,-0.055480003356933594
79,-0.055480003356933594
80,-0.05435999855399132
81,-0.05884000286459923
82,-0.055480003356933594
83,-0.05772000178694725
84,-0.05324000120162964
85,-0.054360002279281616
86,-0.054360002279281616
87,-0.06332000344991684
88,-0.05324000120162964
89,-0.05212000012397766
90,-0.05212000012397766
91,-0.05995999649167061
92,-0.058840006589889526
93,-0.05660000443458557
94,-0.05324000120162964
95,-0.05324000120162964
96,-0.054360002279281616
97,-0.055480003356933594
98,-0.05660000443458557
