,rewards_per_run_RandomModel,episode_lenghts_RandomModel,rewards_per_run_SimpleCPUThresholdModel,episode_lenghts_SimpleCPUThresholdModel,rewards_per_run_DQN_MlpPolicy,episode_lenghts_DQN_MlpPolicy,rewards_per_run_DQN_CnnPolicy,episode_lenghts_DQN_CnnPolicy,rewards_per_run_PPO_MlpPolicy,episode_lenghts_PPO_MlpPolicy,rewards_per_run_PPO_CnnPolicy,episode_lenghts_PPO_CnnPolicy,rewards_per_run_RecurrentPPO_CnnLstmPolicy,episode_lenghts_RecurrentPPO_CnnLstmPolicy,rewards_per_run_RecurrentPPO_MlpLstmPolicy,episode_lenghts_RecurrentPPO_MlpLstmPolicy
0,-33.04023199528456,241,-40.27965332567692,425,-37.713958229869604,360,-33.04023199528456,241,-33.04023199528456,241,-33.04023199528456,241,-33.04023199528456,241,-43.30455346778035,500
1,-9.80226869508624,253,-18.922908563166857,500,-13.945113696157932,374,-9.323747307062149,241,-9.323747307062149,241,-9.323747307062149,241,-9.323747307062149,241,-19.06870861724019,500
2,-10.033762998878956,258,-17.58639508485794,456,-19.132228147238493,500,-9.40538176894188,241,-9.40538176894188,241,-9.40538176894188,241,-9.40538176894188,241,-19.53051310032606,500
3,-9.505834434181452,244,-17.134638603776693,440,-18.76390479505062,486,-9.456981290131807,241,-9.456981290131807,241,-9.456981290131807,241,-9.456981290131807,241,-19.762562461197376,500
4,-9.472648419439793,242,-9.30837757140398,241,-19.492472805082798,500,-9.489943318068981,241,-9.489943318068981,241,-9.609793353825808,244,-17.486646227538586,445,-19.901038598269224,500
5,-9.74427941814065,248,-9.207886826246977,241,-14.834893241524696,380,-9.51254215463996,241,-9.51254215463996,241,-9.54819643124938,242,-19.065512854605913,500,-19.992898747324944,500
6,-9.562601923942566,243,-18.09005418792367,471,-13.732242047786713,352,-9.528937548398972,241,-9.528937548398972,241,-9.5242868848145,241,-18.937267415225506,500,-20.05825647711754,500
7,-9.898348860442638,251,-17.75765886157751,460,-15.982062887400389,409,-9.541355513036251,241,-9.541355513036251,241,-9.537416085600853,241,-18.026438869535923,475,-20.107124246656895,500
8,-9.547408059239388,242,-17.048703379929066,440,-19.62161637097597,500,-9.551078967750072,241,-9.551078967750072,241,-9.587609849870205,242,-18.41834919527173,483,-20.145039439201355,500
9,-9.559291515499353,242,-17.101919174194336,440,-19.689139138907194,500,-9.558895658701658,241,-9.558895658701658,241,-9.55515019968152,241,-9.157820235937834,241,-20.175311364233494,500
10,-9.568981420248747,242,-19.511654656380415,500,-19.747865322977304,500,-9.5653147213161,241,-9.5653147213161,241,-9.561963822692633,241,-9.212264358997345,243,-20.200038604438305,500
11,-9.577033925801516,242,-17.836992643773556,456,-19.798915930092335,500,-9.570679258555174,241,-9.570679258555174,241,-9.567648209631443,241,-9.123205482959747,241,-20.22061627358198,500
12,-9.543986640870571,241,-17.87412953004241,456,-19.843466833233833,500,-9.575228925794363,241,-9.575228925794363,241,-9.572462253272533,241,-9.95535807684064,263,-20.23800791800022,500
13,-9.669767260551453,244,-9.415003381669521,241,-19.88256022706628,500,-9.57913601770997,241,-9.57913601770997,241,-9.576591473072767,241,-9.120941910892725,241,-20.25290000066161,500
14,-9.554401502013206,241,-17.181763101369143,440,-13.261223882436752,334,-9.582527425140142,241,-9.582527425140142,241,-9.620122149586678,242,-19.015197720378637,500,-20.26579511538148,500
15,-10.037416938692331,253,-18.429271798580885,471,-19.866386212408543,500,-9.585498925298452,241,-9.585498925298452,241,-9.582878116518259,241,-19.042641926556826,500,-20.277069736272097,500
16,-9.558724284172058,241,-9.404445555061102,241,-15.011776309460402,378,-9.588123723864555,241,-9.588123723864555,241,-9.585672616958618,241,-10.568279463797808,278,-20.287011120468378,500
17,-10.956705715507269,276,-16.577521171420813,425,-19.876591064035892,500,-9.590459186583757,241,-9.590459186583757,241,-9.588157139718533,241,-19.08054656535387,500,-20.295842815190554,500
18,-9.591483812779188,242,-19.544265817850828,500,-16.69983334094286,420,-9.592550683766603,241,-9.592550683766603,241,-9.590380672365427,241,-10.477271884679794,275,-20.303740438073874,500
19,-9.555290199816227,241,-9.398794699460268,241,-19.901213504374027,500,-9.59443437680602,241,-9.59443437680602,241,-9.632333416491747,242,-9.213130332529545,242,-20.310844898223877,500
