episode,timestep,reward,length
1,63,-24.325678281486034,62
2,137,-5.508413881063461,74
3,212,-5.198902599513531,75
4,307,-6.397669740021229,95
5,354,-2.910034913569689,47
6,411,-3.6051439084112644,57
7,546,-8.461182251572609,135
8,607,-3.3034776858985424,61
9,671,-3.533213824033737,64
10,746,-4.220440149307251,75
11,794,-2.722437512129545,48
12,862,-3.9078199416399,68
13,919,-3.3097864389419556,57
14,988,-4.057906001806259,69
15,1078,-5.347608555108309,90
16,1117,-2.297618955373764,39
17,1194,-4.571551498025656,77
18,1256,-3.695083376020193,62
19,1300,-2.636794473975897,44
20,1374,-4.469095733016729,74
21,1412,-2.297208681702614,38
22,1455,-2.6072569116950035,43
23,1509,-3.2921955808997154,54
24,1638,-7.858531579375267,129
25,1687,-2.8485880978405476,49
26,1736,-2.8630967289209366,49
27,1799,-3.704544808715582,63
28,1859,-3.5485214106738567,60
29,1915,-3.329957462847233,56
30,1982,-4.008750788867474,67
31,2056,-4.450379136949778,74
32,2116,-3.61761462315917,60
33,2164,-2.9053420647978783,48
34,2220,-3.4046089313924313,56
35,2259,-2.378578469157219,39
36,2301,-2.567616280168295,42
37,2345,-2.6977479346096516,44
38,2374,-1.7818372324109077,29
39,2424,-3.0772579722106457,50
40,2489,-4.019564554095268,65
41,2539,-3.1004485189914703,50
42,2619,-4.98402052372694,80
43,2676,-3.5476401075720787,57
44,2734,-3.62350357696414,58
45,2778,-2.7564148157835007,44
46,2811,-2.0715204998850822,33
47,2854,-2.7035587430000305,43
48,2911,-3.5960337072610855,57
49,2955,-2.7831978499889374,44
50,2987,-2.028108097612858,32
51,3028,-2.602170705795288,41
52,3081,-3.3738331720232964,53
53,3137,-3.5766931772232056,56
54,3175,-2.432213179767132,38
55,3214,-2.5009284764528275,39
56,3257,-2.763499952852726,43
57,3330,-4.707646071910858,73
58,3374,-2.836112543940544,44
59,3417,-2.778242602944374,43
60,3459,-2.7197870537638664,42
61,3500,-2.6607624664902687,41
62,3536,-2.34059177339077,36
63,3591,-3.5845955461263657,55
64,3618,-1.7621337994933128,27
65,3665,-3.0711810290813446,47
66,3706,-2.6850606575608253,41
67,3738,-2.0990692898631096,32
68,3788,-3.2858987525105476,50
69,3868,-5.272102475166321,80
70,3899,-2.0356800705194473,31
71,3934,-2.300690285861492,35
72,3995,-4.019277326762676,61
73,4051,-3.696441911160946,56
74,4099,-3.1746113300323486,48
75,4130,-2.0534545108675957,31
76,4173,-2.8521806076169014,43
77,4240,-4.455977074801922,67
78,4290,-3.3269275054335594,50
79,4320,-1.9989468306303024,30
80,4354,-2.267407886683941,34
81,4390,-2.4037671014666557,36
82,4425,-2.3401058092713356,35
83,4458,-2.2090283185243607,33
84,4498,-2.6812514811754227,40
85,4538,-2.685863323509693,40
86,4575,-2.488375410437584,37
87,4613,-2.559477098286152,38
88,4652,-2.6310015618801117,39
89,4689,-2.499926395714283,37
90,4745,-3.7916057407855988,56
91,4790,-3.0512353032827377,45
92,4852,-4.213637225329876,62
93,4892,-2.7199236303567886,40
94,4925,-2.246960237622261,33
95,4954,-1.9763944372534752,29
96,4996,-2.8655866160988808,42
97,5026,-2.0494648292660713,30
98,5062,-2.4617659002542496,36
99,5101,-2.670702815055847,39
100,5146,-3.0869167298078537,45
101,5179,-2.2668166384100914,33
102,5219,-2.7512233927845955,40
103,5256,-2.5485785976052284,37
104,5295,-2.6901899352669716,39
105,5334,-2.6941897720098495,39
106,5373,-2.698175325989723,39
107,5405,-2.216620162129402,32
108,5440,-2.4270006120204926,35
109,5476,-2.4994296059012413,36
110,5512,-2.502609834074974,36
111,5553,-2.854286663234234,41
112,5597,-3.06814606487751,44
