episode,timestep,reward,length
1,94,-26.3407320715487,93
2,136,-2.2952498830854893,42
3,244,-6.316608443856239,108
4,299,-2.9442802742123604,55
5,352,-2.929886545985937,53
6,412,-3.42327594012022,60
7,466,-3.1595407985150814,54
8,520,-3.230267394334078,54
9,626,-6.455069597810507,106
10,728,-5.935971435159445,102
11,802,-4.22332052141428,74
12,903,-5.832353502511978,101
13,968,-3.703010566532612,65
14,1018,-2.8718006126582623,50
15,1072,-3.1260111182928085,54
16,1118,-2.6816867254674435,46
17,1188,-4.118017226457596,70
18,1240,-3.0763623267412186,52
19,1340,-5.966699257493019,100
20,1450,-6.4744307696819305,110
21,1545,-5.491691716015339,95
22,1593,-2.7581858448684216,48
23,1652,-3.408179324120283,59
24,1699,-2.7278801798820496,47
25,1761,-3.617729604244232,62
26,1854,-5.463310047984123,93
27,1913,-3.4518758431077003,59
28,1960,-2.7609732188284397,47
29,2019,-3.4813045635819435,59
30,2062,-2.546243119984865,43
31,2103,-2.433656793087721,41
32,2141,-2.2600695490837097,38
33,2172,-1.8459474556148052,31
34,2213,-2.4434704780578613,41
35,2253,-2.389652594923973,40
36,2305,-3.1167920976877213,52
37,2341,-2.1642817445099354,36
38,2372,-1.8660712167620659,31
39,2420,-2.8946449980139732,48
40,2481,-3.6956323720514774,61
41,2527,-2.7959183901548386,46
42,2560,-2.0107314437627792,33
43,2595,-2.135285194963217,35
44,2626,-1.8938150182366371,31
45,2677,-3.122486062347889,51
46,2732,-3.3811100013554096,55
47,2782,-3.0847921147942543,50
48,2817,-2.1650482676923275,35
49,2854,-2.2927820160984993,37
50,2901,-2.9201183170080185,47
51,2951,-3.11726076900959,50
52,3001,-3.1279835291206837,50
53,3042,-2.572220243513584,41
54,3087,-2.830922596156597,45
55,3127,-2.522999905049801,40
56,3172,-2.8458853513002396,45
57,3223,-3.235677681863308,51
58,3277,-3.437405578792095,54
59,3318,-2.6163024604320526,41
60,3361,-2.7507131844758987,43
61,3403,-2.6934487521648407,42
62,3448,-2.89332777261734,45
63,3496,-3.0949237421154976,48
64,3576,-5.175056338310242,80
65,3614,-2.450731374323368,38
66,3645,-2.0023518949747086,31
67,3692,-3.041183017194271,47
68,3734,-2.724099650979042,42
69,3778,-2.860520213842392,44
70,3815,-2.410357743501663,37
71,3900,-5.550414644181728,85
72,3936,-2.3391565680503845,36
73,3988,-3.3864416405558586,52
74,4023,-2.283375270664692,35
75,4063,-2.613886646926403,40
76,4124,-3.996914640069008,61
77,4162,-2.4925691559910774,38
78,4203,-2.6942877992987633,41
79,4234,-2.040264792740345,31
80,4289,-3.6267310231924057,55
81,4337,-3.171423554420471,48
82,4374,-2.4490297585725784,37
83,4421,-3.1170674189925194,47
84,4463,-2.790982738137245,42
85,4495,-2.1297037228941917,32
86,4541,-3.066363513469696,46
87,4572,-2.0695693641901016,31
88,4614,-2.8077885508537292,42
89,4647,-2.209504909813404,33
90,4685,-2.5477087199687958,38
91,4720,-2.3500595316290855,35
92,4752,-2.1512736678123474,32
93,4801,-3.2997222244739532,49
94,4826,-1.6855241656303406,25
95,4872,-3.1047520264983177,46
96,4915,-2.9076858311891556,43
97,4943,-1.8958627134561539,28
98,4972,-1.9649328142404556,29
99,4999,-1.8307168558239937,27
100,5038,-2.6470210924744606,39
101,5078,-2.719415172934532,40
102,5115,-2.5194062888622284,37
103,5146,-2.113521061837673,31
104,5184,-2.5939464643597603,38
105,5222,-2.5979375764727592,38
106,5254,-2.190623000264168,32
107,5295,-2.810620367527008,41
108,5340,-3.0904215946793556,45
109,5393,-3.647115893661976,53
110,5428,-2.4111220464110374,35
111,5477,-3.3813863396644592,49
112,5512,-2.4184013307094574,35
113,5548,-2.490720398724079,36
114,5572,-1.6620820090174675,24
115,5612,-2.7724273651838303,40
116,5655,-2.9852579534053802,43
117,5697,-2.9205316081643105,42
118,5728,-2.1583155542612076,31
119,5761,-2.2998633682727814,33
120,5787,-1.8136219084262848,26
121,5815,-1.954260066151619,28
122,5855,-2.794804163277149,40
123,5881,-1.8185743987560272,26
124,5919,-2.6603055372834206,38
125,5988,-4.83918559551239,69
126,6035,-3.2931289076805115,47
127,6075,-2.8065136671066284,40
128,6118,-3.021618738770485,43
129,6145,-1.8992827236652374,27
130,6172,-1.900415025651455,27
131,6204,-2.2540152966976166,32
