timestep,reward
2048,-6.623333333333333
4096,-5.561643835616438
6144,-4.599
8192,-3.7730000000000006
10240,-3.262
2048,-6.334375
4096,-5.644444444444445
6144,-4.6930000000000005
8192,-3.7689999999999997
10240,-3.221000000000001
12288,-2.8489999999999998
14336,-2.548
16384,-2.367
18432,-2.199
20480,-2.109
22528,-2.0660000000000003
24576,-2.022
26624,-2.012
28672,-1.992
30720,-1.9660000000000002
32768,-1.966
34816,-1.9580000000000002
36864,-1.9479999999999997
38912,-1.9269999999999998
40960,-1.929
43008,-1.9340000000000002
45056,-1.9369999999999998
47104,-1.922
49152,-1.9369999999999998
51200,-1.93
53248,-1.9229999999999998
55296,-1.928
57344,-1.9159999999999997
59392,-1.9169999999999998
61440,-1.92
63488,-1.9180000000000001
65536,-1.912
67584,-1.92
69632,-1.921
71680,-1.9229999999999998
73728,-1.919
75776,-1.92
77824,-1.932
79872,-1.923
81920,-1.915
83968,-1.916
86016,-1.9089999999999998
88064,-1.909
90112,-1.908
