episode,timestep,reward,length
1,48,-23.086631558835506,47
2,136,-7.443749390542507,88
3,205,-4.318179175257683,69
4,241,-2.275006979703903,36
5,297,-3.652229383587837,56
6,336,-2.599319450557232,39
7,384,-3.2788493037223816,48
8,436,-3.6394894495606422,52
9,544,-7.522722311317921,108
10,580,-2.213156558573246,36
11,644,-4.001664314419031,64
12,721,-4.881844475865364,77
13,806,-5.38078998029232,85
14,835,-1.804458312690258,29
15,919,-5.2676467299461365,84
16,1007,-5.479085262864828,88
17,1061,-3.325182117521763,54
18,1124,-3.9198266305029392,63
19,1168,-2.7527000941336155,44
20,1213,-2.833369880914688,45
21,1253,-2.533084526658058,40
22,1295,-2.6737418472766876,42
23,1354,-3.784864202141762,59
24,1387,-2.1246782541275024,33
25,1420,-2.1300288811326027,33
26,1451,-2.005880907177925,31
27,1487,-2.3357765823602676,36
28,1520,-2.148742586374283,33
29,1545,-1.6315660402178764,25
30,1572,-1.7634420469403267,27
31,1599,-1.765912838280201,27
32,1630,-2.0314332470297813,31
33,1656,-1.707870215177536,26
34,1684,-1.842236764729023,28
35,1720,-2.3756474927067757,36
36,1753,-2.186471462249756,33
37,1781,-1.8609634563326836,28
38,1807,-1.7316827028989792,26
39,1834,-1.8016631975769997,27
40,1859,-1.6714816391468048,25
41,1887,-1.875626228749752,28
42,1914,-1.8129992187023163,27
43,1938,-1.6148280054330826,24
44,1962,-1.617322102189064,24
45,1988,-1.7551781609654427,26
46,2010,-1.4878899306058884,22
47,2034,-1.6253253892064095,24
48,2056,-1.4922467470169067,22
49,2078,-1.4941692352294922,22
50,2101,-1.5642776861786842,23
51,2122,-1.4303557574748993,21
52,2143,-1.4320421516895294,21
53,2163,-1.3654260858893394,20
54,2187,-1.6406539678573608,24
55,2209,-1.5066784992814064,22
56,2234,-1.715155303478241,25
57,2255,-1.4435327127575874,21
58,2277,-1.5144404917955399,22
59,2298,-1.4478324428200722,21
60,2320,-1.5190268158912659,22
61,2341,-1.4522789269685745,21
62,2364,-1.5931321159005165,23
63,2386,-1.5266537591814995,22
64,2410,-1.668516606092453,24
65,2433,-1.6022841706871986,23
66,2453,-1.395701564848423,20
67,2473,-1.3975608795881271,20
68,2492,-1.3293948099017143,19
69,2515,-1.611568346619606,23
70,2536,-1.474138393998146,21
71,2557,-1.476478785276413,21
72,2578,-1.4788385331630707,21
73,2598,-1.4105931147933006,20
74,2618,-1.4126041010022163,20
75,2639,-1.4854590892791748,21
76,2667,-1.9848448559641838,28
77,2688,-1.492192454636097,21
78,2709,-1.494634211063385,21
79,2729,-1.4257098212838173,20
80,2749,-1.427798293530941,20
81,2771,-1.5730898901820183,22
82,2795,-1.7194856479763985,24
83,2817,-1.5794334411621094,22
84,2838,-1.510313369333744,21
85,2859,-1.5128229781985283,21
86,2879,-1.443093165755272,20
87,2901,-1.5899702087044716,22
88,2923,-1.5928959846496582,22
89,2944,-1.5231917798519135,21
90,2964,-1.4529921784996986,20
91,2988,-1.7466495856642723,24
92,3009,-1.5313261672854424,21
93,3031,-1.6070206388831139,22
94,3051,-1.4634243845939636,20
95,3071,-1.4656232446432114,20
96,3094,-1.688311092555523,23
97,3114,-1.470738485455513,20
98,3136,-1.620437815785408,22
99,3156,-1.475630283355713,20
100,3178,-1.625825196504593,22
101,3199,-1.5546459779143333,21
102,3221,-1.6314719840884209,22
103,3243,-1.6344191431999207,22
104,3264,-1.5628462433815002,21
105,3285,-1.5654214024543762,21
106,3306,-1.5679969564080238,21
107,3327,-1.5705726817250252,21
108,3347,-1.498151808977127,20
109,3367,-1.5003833621740341,20
110,3388,-1.5778361484408379,21
111,3408,-1.505070872604847,20
112,3429,-1.5827596932649612,21
113,3449,-1.5097595900297165,20
114,3470,-1.5876836478710175,21
115,3490,-1.5144479796290398,20
116,3510,-1.516684964299202,20
117,3530,-1.5189224854111671,20
118,3550,-1.5211603343486786,20
119,3569,-1.4471522942185402,19
120,3588,-1.449077270925045,19
121,3608,-1.5274525731801987,20
122,3628,-1.5296922698616982,20
123,3649,-1.608614295721054,21
124,3669,-1.5343754217028618,20
125,3690,-1.6135288700461388,21
126,3711,-1.616089902818203,21
127,3734,-1.7729972526431084,23
128,3754,-1.5443067625164986,20
129,3775,-1.6239465549588203,21
130,3795,-1.5489608570933342,20
131,3815,-1.5511856377124786,20
132,3837,-1.7089282348752022,22
133,3858,-1.6339023634791374,21
134,3879,-1.6364361569285393,21
135,3899,-1.560840643942356,20
136,3918,-1.484827682375908,19
137,3938,-1.5650692582130432,20
138,3958,-1.567279726266861,20
139,3979,-1.648045428097248,21
140,3999,-1.5718840435147285,20
141,4019,-1.57408756762743,20
142,4038,-1.4974018931388855,19
143,4060,-1.7363001257181168,22
144,4081,-1.6599849835038185,21
145,4102,-1.6624820604920387,21
146,4121,-1.5062602013349533,19
147,4141,-1.5876121148467064,20
148,4160,-1.5102359279990196,19
149,4180,-1.5917941555380821,20
