episode,timestep,reward,length
1,47,-2.94008020311594,46
2,109,-3.966701418161392,62
3,151,-2.688499502837658,42
4,211,-3.844143755733967,60
5,269,-3.7190785109996796,58
6,316,-3.0158476755023003,47
7,366,-3.210953213274479,50
8,421,-3.5352339893579483,55
9,488,-4.31084169447422,67
10,557,-4.44220282882452,69
11,615,-3.735472224652767,58
12,667,-3.351547561585903,52
13,706,-2.5151987820863724,39
14,761,-3.5496224984526634,55
15,822,-3.940417654812336,61
16,908,-5.559453062713146,86
17,972,-4.1326655969023705,64
18,1013,-2.6484230011701584,41
19,1075,-4.008223578333855,62
20,1146,-4.59359085559845,71
21,1206,-3.882841281592846,60
22,1261,-3.5617178976535797,55
23,1313,-3.3699514493346214,52
24,1384,-4.605594076216221,71
25,1475,-5.903665117919445,91
26,1538,-4.08010708540678,63
27,1589,-3.3046391755342484,51
28,1635,-2.982630707323551,46
29,1710,-4.867331683635712,75
30,1790,-5.191724732518196,80
31,1853,-4.086621478199959,63
32,1922,-4.478796109557152,69
33,1956,-2.206887438893318,34
34,2018,-4.026643991470337,62
35,2063,-2.9238273575901985,45
36,2096,-2.1450510546565056,33
37,2138,-2.730867885053158,42
38,2191,-3.448378048837185,53
39,2250,-3.8417706340551376,59
40,2281,-2.0191985964775085,31
41,2351,-4.561888933181763,70
42,2391,-2.6067400500178337,40
43,2426,-2.2817427814006805,35
44,2482,-3.652758650481701,56
45,2542,-3.9165617749094963,60
46,2587,-2.9387853890657425,45
47,2630,-2.8097188398241997,43
48,2682,-3.4000032767653465,52
49,2752,-4.580697268247604,70
50,2783,-2.028284929692745,31
51,2821,-2.4867513552308083,38
52,2879,-3.7979302406311035,58
53,2922,-2.8170290142297745,43
54,2956,-2.228314273059368,34
55,2992,-2.3599792942404747,36
56,3044,-3.4106038734316826,52
57,3102,-3.8069229125976562,58
58,3179,-5.057535327970982,77
59,3229,-3.282788187265396,50
60,3293,-4.205222956836224,64
61,3324,-2.0371465757489204,31
62,3363,-2.5633904710412025,39
63,3407,-2.8933669328689575,44
64,3443,-2.368319623172283,36
65,3524,-5.331844799220562,81
66,3599,-4.933904841542244,75
67,3642,-2.8277965635061264,43
68,3705,-4.146002322435379,63
69,3773,-4.477389104664326,68
70,3836,-4.149346865713596,63
71,3887,-3.360288232564926,51
72,3930,-2.834655284881592,43
73,3969,-2.5720955953001976,39
74,4014,-2.9691603630781174,45
75,4069,-3.6313268840312958,55
76,4112,-2.8403836861252785,43
77,4147,-2.312840610742569,35
78,4177,-1.9828366190195084,30
79,4207,-1.9830023348331451,30
80,4250,-2.8429744988679886,43
81,4275,-1.653391920030117,25
82,4307,-2.1162933707237244,32
83,4346,-2.579859137535095,39
84,4382,-2.382251761853695,36
85,4430,-3.1777516454458237,48
86,4481,-3.3784333616495132,51
87,4525,-2.9162451028823853,44
88,4556,-2.0553692504763603,31
89,4595,-2.586367629468441,39
90,4636,-2.7201324850320816,41
91,4670,-2.2565373927354813,34
92,4716,-3.0541306734085083,46
93,4761,-2.989334814250469,45
94,4797,-2.392476312816143,36
95,4834,-2.4597134217619896,37
96,4885,-3.3921103179454803,51
97,4934,-3.2609408125281334,49
98,4972,-2.5300252065062523,38
99,5004,-2.1311836391687393,32
100,5051,-3.131280265748501,47
101,5088,-2.466126509010792,37
102,5113,-1.6666772291064262,25
103,5160,-3.1339323669672012,47
104,5198,-2.5349521189928055,38
105,5228,-2.0018445029854774,30
106,5262,-2.269125483930111,34
107,5317,-3.672412484884262,55
108,5348,-2.070540264248848,31
109,5387,-2.6055101975798607,39
110,5419,-2.1385384425520897,32
111,5456,-2.4732943698763847,37
112,5501,-3.0093744471669197,45
113,5529,-1.8731350526213646,28
114,5564,-2.341735862195492,35
115,5607,-2.8780837282538414,43
116,5659,-3.482502296566963,52
117,5691,-2.1438314616680145,32
118,5745,-3.6192823201417923,54
119,5776,-2.07838736474514,31
120,5829,-3.554801397025585,53
121,5869,-2.684001199901104,40
122,5924,-3.6926191598176956,55
123,5960,-2.4178160205483437,36
124,5990,-2.015363834798336,30
125,6039,-3.2928862124681473,49
126,6072,-2.2184925451874733,33
127,6108,-2.420811988413334,36
128,6142,-2.287003844976425,34
129,6171,-1.9511007145047188,29
130,6205,-2.287866599857807,34
131,6247,-2.827186644077301,42
132,6279,-2.1548101603984833,32
133,6310,-2.0878873243927956,31
134,6336,-1.7513732463121414,26
135,6369,-2.2230962365865707,33
136,6402,-2.223633885383606,33
137,6438,-2.426447294652462,36
138,6465,-1.8202765733003616,27
139,6499,-2.292495012283325,34
140,6527,-1.8883494287729263,28
141,6566,-2.630746364593506,39
142,6603,-2.4967897087335587,37
143,6630,-1.8224569410085678,27
144,6658,-1.8901049122214317,28
145,6689,-2.0928865745663643,31
146,6728,-2.633714124560356,39
147,6772,-2.9727353751659393,44
148,6798,-1.7571750581264496,26
149,6829,-2.095280073583126,31
150,6858,-1.9604513868689537,29
151,6890,-2.163617342710495,32
152,6926,-2.4347233325242996,36
153,6962,-2.4355438873171806,36
154,6992,-2.030184470117092,30
155,7019,-1.8274355605244637,27
156,7046,-1.8275924697518349,27
157,7075,-1.963173046708107,29
158,7104,-1.9634620994329453,29
159,7149,-3.0476987585425377,45
160,7180,-2.1002876311540604,31
161,7203,-1.5585067495703697,23
162,7248,-3.0498136729002,45
163,7276,-1.898299790918827,28
164,7302,-1.7628972753882408,26
165,7340,-2.5770038217306137,38
166,7363,-1.5601697340607643,23
167,7407,-2.9852068349719048,44
168,7441,-2.3076507076621056,34
169,7487,-3.1234188601374626,46
170,7520,-2.2415630221366882,33
171,7551,-2.106235258281231,31
172,7578,-1.8347937390208244,27
173,7604,-1.7670061439275742,26
174,7645,-2.787039592862129,41
175,7683,-2.584187924861908,38
176,7716,-2.2449269220232964,33
177,7746,-2.041339561343193,30
178,7778,-2.1778846234083176,32
179,7815,-2.518924668431282,37
180,7846,-2.111106887459755,31
181,7881,-2.384125217795372,35
182,7913,-2.1804145723581314,32
183,7942,-1.9764381498098373,29
184,7974,-2.1813215985894203,32
185,8002,-1.9090657234191895,28
186,8028,-1.7729275599122047,26
187,8064,-2.455257758498192,36
188,8092,-1.91017185151577,28
189,8119,-1.8422025069594383,27
190,8150,-2.11544206738472,31
191,8176,-1.7745722085237503,26
192,8206,-2.0478383526206017,30
193,8235,-1.97996087372303,29
194,8259,-1.6388160362839699,24
195,8288,-1.9803915694355965,29
196,8311,-1.5708672851324081,23
197,8337,-1.7758281454443932,26
198,8364,-1.8443246558308601,27
199,8391,-1.8445582315325737,27
200,8439,-3.280279226601124,48
201,8467,-1.914106734097004,28
202,8492,-1.709250919520855,25
203,8515,-1.5726097375154495,23
204,8555,-2.7354457676410675,40
205,8589,-2.325999140739441,34
206,8615,-1.7791363075375557,26
207,8645,-2.053132265806198,30
208,8669,-1.6427797377109528,24
209,8697,-1.9167359545826912,28
210,8724,-1.8485649228096008,27
211,8762,-2.6023002341389656,38
212,8796,-2.329212322831154,34
213,8834,-2.6041584983468056,38
214,8868,-2.3308746069669724,34
215,8895,-1.851456955075264,27
216,8925,-2.0575097650289536,30
217,8955,-2.057957276701927,30
218,8983,-1.9211464896798134,28
219,9008,-1.7155566215515137,25
220,9043,-2.4021985828876495,35
221,9070,-1.8536215126514435,27
222,9095,-1.7165356799960136,25
223,9120,-1.716691978275776,25
224,9153,-2.2663930132985115,33
225,9180,-1.8547735065221786,27
226,9211,-2.129936270415783,31
227,9244,-2.267956331372261,33
228,9270,-1.7872985750436783,26
229,9302,-2.20012965798378,32
230,9332,-2.063149631023407,30
231,9364,-2.2012279704213142,32
232,9398,-2.3394903764128685,34
233,9428,-2.0648429319262505,30
234,9451,-1.583321936428547,23
235,9477,-1.7899655178189278,26
236,9504,-1.8590584471821785,27
237,9532,-1.9282214120030403,28
238,9564,-2.204151265323162,32
239,9596,-2.20476271212101,32
240,9627,-2.136437587440014,31
241,9657,-2.0680275931954384,30
242,9683,-1.792645514011383,26
243,9714,-2.137751020491123,31
244,9744,-2.069301523268223,30
245,9769,-1.7247494757175446,25
246,9803,-2.3460867926478386,34
247,9834,-2.139714442193508,31
248,9867,-2.2783863618969917,33
249,9894,-1.86460293084383,27
250,9922,-1.9339854419231415,28
251,9952,-2.0725447237491608,30
252,9975,-1.5892403051257133,23
253,10002,-1.8657962381839752,27
254,10038,-2.4883269518613815,36
255,10067,-2.005092218518257,29
256,10100,-2.2822196409106255,33
257,10136,-2.490521565079689,36
258,10167,-2.1453012824058533,31
259,10195,-1.9381458461284637,28
260,10224,-2.0077599436044693,29
261,27,-1.8017141446471214,26
262,56,-2.0099708661437035,29
263,83,-1.8717215657234192,27
264,106,-1.594649314880371,23
265,132,-1.8028070628643036,26
266,155,-1.594985656440258,23
267,177,-1.5257367342710495,22
268,204,-1.8726460859179497,27
269,229,-1.7341982796788216,25
270,264,-2.4283719956874847,35
271,294,-2.0820912197232246,30
272,317,-1.5965714156627655,23
273,340,-1.5966892465949059,23
274,366,-1.8051238134503365,26
275,399,-2.291588567197323,33
276,425,-1.8059455454349518,26
277,447,-1.5282943546772003,22
278,476,-2.0147770196199417,29
279,501,-1.7372065111994743,25
280,529,-1.945959359407425,28
281,557,-1.9463441967964172,28
282,590,-2.2944575250148773,33
283,614,-1.669093295931816,24
284,639,-1.7388308495283127,25
285,669,-2.086945153772831,30
286,693,-1.6698902323842049,24
287,721,-1.9484672099351883,28
288,749,-1.948857806622982,28
289,776,-1.8796184659004211,27
290,805,-2.0192403197288513,29
291,832,-1.8803747445344925,27
292,858,-1.811040997505188,26
293,884,-1.8113225176930428,26
294,907,-1.602541245520115,23
295,932,-1.742065466940403,25
296,957,-1.7422978803515434,25
297,982,-1.7425312548875809,25
298,1004,-1.5336046293377876,22
299,1032,-1.9520691335201263,28
300,1064,-2.2314683943986893,32
301,1089,-1.7437482997775078,25
302,1115,-1.813758209347725,26
303,1142,-1.8838335126638412,27
304,1175,-2.3030001893639565,33
305,1203,-1.9545913934707642,28
306,1231,-1.9549958780407906,28
307,1258,-1.8855506479740143,27
308,1285,-1.885898932814598,27
309,1307,-1.536891184747219,22
310,1333,-1.8165020942687988,26
311,1359,-1.8167981579899788,26
312,1386,-1.8869972974061966,27
313,1417,-2.1670267805457115,31
314,1443,-1.8179331943392754,26
315,1471,-1.9581257328391075,28
316,1498,-1.8885746970772743,27
317,1524,-1.8189555034041405,26
318,1551,-1.889241874217987,27
319,1578,-1.88959801197052,27
320,1601,-1.6099168881773949,23
321,1627,-1.8201218992471695,26
322,1654,-1.890456199645996,27
323,1680,-1.8207714557647705,26
324,1707,-1.8911321237683296,27
325,1739,-2.241859555244446,32
326,1769,-2.1023315861821175,30
327,1795,-1.8224304765462875,26
328,1819,-1.6825039610266685,24
329,1846,-1.8930919617414474,27
330,1873,-1.8934550061821938,27
331,1910,-2.595448285341263,37
332,1938,-1.964722216129303,28
333,1963,-1.7545531392097473,25
334,1996,-2.3164990320801735,33
335,2027,-2.1767554506659508,31
336,2054,-1.8963492438197136,27
337,2077,-1.6156757771968842,23
338,2099,-1.5455812215805054,22
339,2126,-1.8970707282423973,27
340,2149,-1.6162921264767647,23
341,2172,-1.6164630651474,23
342,2201,-2.0384534001350403,29
343,2224,-1.617019273340702,23
344,2249,-1.7578407004475594,25
345,2276,-1.8987831771373749,27
346,2300,-1.688101977109909,24
347,2323,-1.6179645583033562,23
348,2347,-1.6885049119591713,24
349,2373,-1.8294785097241402,26
350,2396,-1.6186357289552689,23
351,2420,-1.6892073974013329,24
352,2442,-1.5486254319548607,22
353,2466,-1.689580723643303,24
354,2490,-1.6898052021861076,24
355,2513,-1.6196020990610123,23
356,2538,-1.760657012462616,25
357,2563,-1.760931447148323,25
358,2586,-1.620288610458374,23
359,2614,-1.9728175178170204,28
360,2637,-1.6208300814032555,23
361,2661,-1.6915039494633675,24
362,2685,-1.6917335093021393,24
363,2709,-1.69196368008852,24
364,2733,-1.692194476723671,24
365,2757,-1.6924259215593338,24
366,2782,-1.7631972804665565,25
367,2807,-1.763477772474289,25
368,2837,-2.116590365767479,30
369,2862,-1.7642237395048141,25
370,2889,-1.9056935235857964,27
371,2920,-2.188530534505844,31
372,2944,-1.6947366297245026,24
373,2970,-1.8362451642751694,26
374,2993,-1.6246336251497269,23
375,3016,-1.6248256266117096,23
376,3040,-1.6956820860505104,24
377,3068,-1.9786299616098404,28
378,3103,-2.4739826321601868,35
379,3125,-1.5554672181606293,22
380,3150,-1.7677841857075691,25
381,3172,-1.55587287992239,22
382,3195,-1.6267653480172157,23
383,3216,-1.4854692295193672,21
384,3248,-2.2639284655451775,32
385,3268,-1.4152641892433167,20
386,3292,-1.6984572783112526,24
387,3319,-1.9110777378082275,27
388,3344,-1.7698556631803513,25
389,3370,-1.8409656062722206,26
390,3395,-1.7704754769802094,25
391,3417,-1.5582455098628998,22
392,3446,-2.054360993206501,29
393,3473,-1.9131242409348488,27
394,3497,-1.7008712068200111,24
395,3524,-1.9137975946068764,27
396,3548,-1.7014704570174217,24
397,3577,-2.056316651403904,29
398,3603,-1.8440090715885162,26
399,3625,-1.5605668053030968,22
400,3651,-1.8445471674203873,26
401,3683,-2.2707426473498344,32
402,3705,-1.5614944845438004,22
403,3727,-1.5616586729884148,22
404,3751,-1.7038285434246063,24
405,3774,-1.6330655738711357,23
406,3798,-1.7042952850461006,24
407,3823,-1.775581806898117,25
408,3850,-1.917979046702385,27
409,3873,-1.6341316550970078,23
410,3893,-1.4211414828896523,20
411,3918,-1.776599869132042,25
412,3942,-1.705813616514206,24
413,3964,-1.5638762935996056,22
414,3987,-1.6351487338542938,23
415,4010,-1.6353599950671196,23
416,4031,-1.4933305904269218,21
417,4057,-1.8491091579198837,26
418,4082,-1.778317205607891,25
419,4105,-1.6363103985786438,23
420,4129,-1.7076881155371666,24
421,4152,-1.6367714032530785,23
422,4175,-1.636985883116722,23
423,4202,-1.9219838008284569,27
424,4229,-1.9223916605114937,27
425,4255,-1.8515716269612312,26
426,4275,-1.4245073422789574,20
427,4299,-1.7095721885561943,24
428,4321,-1.5673276036977768,22
429,4343,-1.5675038620829582,22
430,4366,-1.6389487385749817,23
431,4390,-1.7104460969567299,24
432,4412,-1.5681302770972252,22
433,4435,-1.6396050304174423,23
434,4458,-1.6398246437311172,23
435,4482,-1.7113619297742844,24
436,4504,-1.5689713656902313,22
437,4530,-1.854499764740467,26
438,4552,-1.5694569051265717,22
439,4577,-1.7837131544947624,25
440,4602,-1.7840260192751884,25
441,4624,-1.5701884254813194,22
442,4649,-1.784545749425888,25
443,4671,-1.5706464499235153,22
444,4697,-1.8564827144145966,26
445,4720,-1.6425620913505554,23
446,4744,-1.7142229303717613,24
447,4767,-1.6430439874529839,23
448,4799,-2.286435730755329,32
449,4820,-1.5008133724331856,21
450,4842,-1.5724433660507202,22
451,4862,-1.4296464994549751,20
452,4886,-1.715751588344574,24
453,4911,-1.7875352576375008,25
454,4935,-1.716327354311943,24
455,4957,-1.5735293105244637,22
456,4980,-1.6452588737010956,23
457,5005,-1.7885964959859848,25
458,5027,-1.5742155686020851,22
459,5053,-1.860707350075245,26
460,5075,-1.574715495109558,22
461,5100,-1.789698265492916,25
462,5126,-1.8616321235895157,26
463,5148,-1.5754987299442291,22
464,5169,-1.5040577799081802,21
465,5195,-1.8624145165085793,26
466,5219,-1.719470351934433,24
467,5242,-1.6480792760849,23
468,5268,-1.8633456826210022,26
469,5290,-1.5769501402974129,22
470,5313,-1.6488403752446175,23
471,5336,-1.6490735337138176,23
472,5359,-1.649307057261467,23
473,5384,-1.7930025830864906,25
474,5408,-1.721582069993019,24
475,5434,-1.865373656153679,26
476,5457,-1.6504354178905487,23
477,5483,-1.8660123720765114,26
478,5506,-1.651000827550888,23
479,5529,-1.6512364745140076,23
480,5553,-1.7232865914702415,24
481,5575,-1.5799162909388542,22
482,5597,-1.5801121518015862,22
483,5623,-1.8676855191588402,26
484,5649,-1.8680605739355087,26
485,5673,-1.7246867045760155,24
486,5696,-1.6530838087201118,23
487,5722,-1.869009591639042,26
488,5744,-1.5817468240857124,22
489,5767,-1.6538614109158516,23
490,5792,-1.7979585081338882,25
491,5816,-1.7263441607356071,24
492,5843,-1.9424951076507568,27
493,5868,-1.7989771142601967,25
494,5893,-1.7993062436580658,25
495,5918,-1.7996356263756752,25
496,5940,-1.5839393436908722,22
497,5962,-1.5841395556926727,22
498,5987,-1.8004205897450447,25
499,6009,-1.584630824625492,22
500,6033,-1.7289289608597755,24
501,6056,-1.6571531146764755,23
502,6079,-1.6573953554034233,23
503,6101,-1.5855570957064629,22
504,6124,-1.6578494012355804,23
505,6147,-1.6580925583839417,23
506,6171,-1.7304484769701958,24
507,6198,-1.9471167996525764,27
508,6221,-1.658977136015892,23
509,6244,-1.659221276640892,23
510,6264,-1.442988932132721,20
511,6289,-1.8039552345871925,25
512,6310,-1.5155653059482574,21
513,6333,-1.6601074635982513,23
514,6356,-1.6603530496358871,23
515,6378,-1.5883893221616745,22
516,6401,-1.6608139052987099,23
517,6424,-1.6610603258013725,23
518,6444,-1.444590024650097,20
519,6468,-1.7337098196148872,24
520,6494,-1.8785250335931778,26
521,6519,-1.8066303208470345,25
522,6539,-1.4455296471714973,20
523,6560,-1.5179564356803894,21
524,6581,-1.518126703798771,21
525,6605,-1.735228218138218,24
526,6628,-1.6631961092352867,23
527,6653,-1.808115690946579,25
528,6673,-1.4467190951108932,20
529,6701,-2.0257010236382484,28
530,6725,-1.736683189868927,24
531,6749,-1.7369758784770966,24
532,6770,-1.5200827792286873,21
533,6795,-1.8098722025752068,25
534,6825,-2.1723284795880318,30
535,6846,-1.5209514796733856,21
536,6866,-1.4486823379993439,20
537,6890,-1.7386260703206062,24
538,6914,-1.7389201819896698,24
539,6937,-1.6667367219924927,23
540,6959,-1.5945012122392654,22
541,6984,-1.8122080266475677,25
542,7008,-1.7400346249341965,24
543,7032,-1.7403297498822212,24
544,7062,-2.175870791077614,30
545,7082,-1.4508792832493782,20
546,7106,-1.7412648722529411,24
547,7127,-1.5238381698727608,21
548,7149,-1.5965953022241592,22
549,7170,-1.524217963218689,21
550,7191,-1.5243944451212883,21
551,7215,-1.7423983663320541,24
552,7238,-1.6700725108385086,23
553,7261,-1.6703271269798279,23
554,7283,-1.5979383364319801,22
555,7305,-1.5981533750891685,22
556,7327,-1.5983686447143555,22
557,7350,-1.6712570562958717,23
558,7373,-1.6715127974748611,23
559,7396,-1.6717686876654625,23
560,7423,-1.9628630056977272,27
561,7445,-1.5996752753853798,22
562,7467,-1.5998917892575264,22
563,7488,-1.5273676216602325,21
564,7512,-1.7457996979355812,24
565,7537,-1.818864919245243,25
566,7557,-1.4553239345550537,20
567,7581,-1.746604435145855,24
568,7602,-1.528513990342617,21
569,7627,-1.8199189975857735,25
570,7650,-1.6746214032173157,23
571,7670,-1.456392265856266,20
572,7693,-1.6750487014651299,23
573,7714,-1.529610626399517,21
574,7739,-1.821225844323635,25
575,7763,-1.7486972883343697,24
576,7784,-1.5303464829921722,21
577,7806,-1.6034204214811325,22
578,7827,-1.5307388603687286,21
579,7851,-1.749656155705452,24
580,7873,-1.6041088849306107,22
581,7894,-1.5313966199755669,21
582,7917,-1.6774644926190376,23
583,7938,-1.5318181216716766,21
