episode,timestep,reward,length
1,124,-7.657020077109337,123
2,173,-2.8596636690199375,49
3,215,-2.4681072533130646,42
4,263,-2.8393631279468536,48
5,310,-2.8005839325487614,47
6,390,-4.813280135393143,80
7,455,-3.9142134822905064,65
8,543,-5.336738046258688,88
9,614,-4.288172762840986,71
10,664,-3.029197134077549,50
11,714,-3.046098306775093,50
12,777,-3.863361980766058,63
13,834,-3.512896418571472,57
14,893,-3.656710609793663,59
15,945,-3.2378793731331825,52
16,994,-3.065207552164793,49
17,1080,-5.409508801996708,86
18,1143,-3.9456774555146694,63
19,1242,-6.219435542821884,99
20,1305,-3.911150060594082,63
21,1365,-3.7390851713716984,60
22,1471,-6.621943321079016,106
23,1526,-3.38329042121768,55
24,1579,-3.2722906805574894,53
25,1660,-5.0236187763512135,81
26,1709,-3.034449305385351,49
27,1765,-3.480203118175268,56
28,1840,-4.6801054291427135,75
29,1894,-3.371283318847418,54
30,1997,-6.44699539616704,103
31,2065,-4.211786113679409,68
32,2116,-3.1644378006458282,51
33,2164,-2.9861428178846836,48
34,2222,-3.619255792349577,58
35,2280,-3.629872839897871,58
36,2337,-3.5773418471217155,57
37,2391,-3.3980841040611267,54
38,2444,-3.344008781015873,53
39,2492,-3.035740092396736,48
40,2575,-5.2653119415044785,83
41,2621,-2.9110559597611427,46
42,2677,-3.5528083443641663,56
43,2727,-3.179244212806225,50
44,2760,-2.1014923751354218,33
45,2800,-2.5494152680039406,40
46,2848,-3.064847305417061,48
47,2923,-4.802520856261253,75
48,3004,-5.187865011394024,81
49,3058,-3.453118570148945,54
50,3090,-2.0490253046154976,32
51,3129,-2.4989689737558365,39
52,3175,-2.9520803168416023,46
53,3212,-2.3780613243579865,37
54,3256,-2.831774428486824,44
55,3307,-3.2888884395360947,51
56,3349,-2.71317370980978,42
57,3399,-3.2360069900751114,50
58,3444,-2.9177212715148926,45
59,3474,-1.9474747776985168,30
60,3543,-4.486027233302593,69
61,3587,-2.8614035695791245,44
