2022-07-04 12:47:23,622125: Logging to /logs/20201026.1/2022-07-04.15 in formats [<HumanOutputFormat(<stdout>)>, <HumanOutputFormat(/logs/20201026.1/2022-07-04.15/log.txt)>, <driver.logger.CSVOutputFormat object at 0x7f18d5a076d0>]
2022-07-04 12:47:23,623499: Training once: starting...
2022-07-04 12:47:23,626920: Loading workload from file: /input_workloads/TEST-DNNEVO-2.swf
2022-07-04 12:47:23,635788: Dumping jobs available for training
2022-07-04 12:47:23,637415: {'jobId': 1, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,638723: {'jobId': 2, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,639870: {'jobId': 3, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,641229: {'jobId': 4, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,642488: {'jobId': 5, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,643944: {'jobId': 6, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,645252: {'jobId': 7, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,646486: {'jobId': 8, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,647851: {'jobId': 9, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,648867: {'jobId': 10, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,650385: {'jobId': 11, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,652066: {'jobId': 12, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 12:47:23,654246: {'jobId': 13, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
