2022-07-04 20:14:26,298630: Logging to /logs/20201026.1/2022-07-04.30 in formats [<HumanOutputFormat(<stdout>)>, <HumanOutputFormat(/logs/20201026.1/2022-07-04.30/log.txt)>, <driver.logger.CSVOutputFormat object at 0x7f1c05b8e210>]
2022-07-04 20:14:26,300129: Training once: starting...
2022-07-04 20:14:26,301526: Loading workload from file: /input_workloads/TEST-DNNEVO-2.swf
2022-07-04 20:14:26,310482: Dumping jobs available for training
2022-07-04 20:14:26,311760: {'jobId': 1, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,313906: {'jobId': 2, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,314919: {'jobId': 3, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,316652: {'jobId': 4, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,317898: {'jobId': 5, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,319875: {'jobId': 6, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,321339: {'jobId': 7, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,322437: {'jobId': 8, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,323722: {'jobId': 9, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,324622: {'jobId': 10, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,326036: {'jobId': 11, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,327682: {'jobId': 12, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,329118: {'jobId': 13, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,331338: {'jobId': 14, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,332777: {'jobId': 15, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,335018: {'jobId': 16, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,336496: {'jobId': 17, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,338249: {'jobId': 18, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,339383: {'jobId': 19, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,340818: {'jobId': 20, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,342475: {'jobId': 21, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,344198: {'jobId': 22, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,345404: {'jobId': 23, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,347189: {'jobId': 24, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,349326: {'jobId': 25, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,350873: {'jobId': 26, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,352747: {'jobId': 27, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,354267: {'jobId': 28, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,355926: {'jobId': 29, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,357536: {'jobId': 30, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,359585: {'jobId': 31, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,361329: {'jobId': 32, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,363519: {'jobId': 33, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,364925: {'jobId': 34, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,367011: {'jobId': 35, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,369371: {'jobId': 36, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,371278: {'jobId': 37, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,373270: {'jobId': 38, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,374378: {'jobId': 39, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,375651: {'jobId': 40, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,377653: {'jobId': 41, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,379007: {'jobId': 42, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,381341: {'jobId': 43, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,382828: {'jobId': 44, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,384898: {'jobId': 45, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,386850: {'jobId': 46, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-07-04 20:14:26,388586: {'jobId': 47, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
