2022-09-04 14:42:04,635588: Logging to /logs/20201026.1/2022-09-04.1 in formats [<HumanOutputFormat(<stdout>)>, <HumanOutputFormat(/logs/20201026.1/2022-09-04.1/log.txt)>, <driver.logger.CSVOutputFormat object at 0x7f68c3cd6310>]
2022-09-04 14:42:04,638857: Training once: starting...
2022-09-04 14:42:04,640286: Loading workload from file: /input_workloads/TEST-DNNEVO-2.swf
2022-09-04 14:42:04,647003: Dumping jobs available for training
2022-09-04 14:42:04,649113: {'jobId': 1, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,651909: {'jobId': 2, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,653636: {'jobId': 3, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,655499: {'jobId': 4, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,656743: {'jobId': 5, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,658540: {'jobId': 6, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,659580: {'jobId': 7, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,660765: {'jobId': 8, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,661937: {'jobId': 9, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,663701: {'jobId': 10, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,665779: {'jobId': 11, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,667356: {'jobId': 12, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,668288: {'jobId': 13, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,669321: {'jobId': 14, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
2022-09-04 14:42:04,670535: {'jobId': 15, 'submissionDelay': 3600, 'mi': 3960000, 'numberOfCores': 1}
